"Add Landingpage","Add Landingpage"
"All Stores","All Stores"
"Attribute code","Attribute code"
"Attribute landing pages","Attribute landing pages"
"Categories","Categories"
"Custom Layout Update","Custom Layout Update"
"Delete Landingpage","Delete Landingpage"
"Display in Top Navigation","Display in Top Navigation"
"Display Layered Navigation","Display Layered Navigation"
"Edit Landingpage '%s'","Edit Landingpage '%s'"
"Estimated product count for store '%s' is %d","Estimated product count for store '%s' is %d"
"ID","ID"
"Inherit Template","Inherit Template"
"Landingpage Conditions","Landingpage Conditions"
"Landingpage Content","Landingpage Content"
"Landingpage Design","Landingpage Design"
"Landingpage Information","Landingpage Information"
"Landingpage Manager","Landingpage Manager"
"Landingpage was successfully deleted","Landingpage was successfully deleted"
"Landingpage was successfully saved","Landingpage was successfully saved"
"Meta description","Meta description"
"Meta keywords","Meta keywords"
"Meta title","Meta title"
"Page description","Page description"
"Page Layout","Page Layout"
"Page title","Page title"
"Page URL","Page URL"
"Save Landingpage","Save Landingpage"
"Stores","Stores"
"Value","Value"
