"Add Landingpage","Voeg landingspagina toe"
"All Stores","Alle winkels"
"Attribute code",Attribuutcode
"Attribute landing pages","Attribuut landingspagina's"
Categories,Categorieën
"Custom Layout Update","Aangepaste layout update"
"Delete Landingpage","Verwijder landingspagina"
"Display in Top Navigation","Toon in top navigatie"
"Display Layered Navigation","Toon gelaagde navigatie"
"Edit Landingpage '%s'","Bewerk landingspagina '%s'"
"Estimated product count for store '%s' is %d","Geschat aantal producten voor winkel '%s' is %d"
"ID","ID"
"Inherit Template","Template overerven"
"Landingpage Conditions","Landingspagina voorwaarden"
"Landingpage Content","Landingspagina inhoud"
"Landingpage Design","Landingspagina design"
"Landingpage Information","Landingspagina informatie"
"Landingpage Manager","Landingspagina manager"
"Landingpage was successfully deleted","Landingspagina is succesvol verwijderd"
"Landingpage was successfully saved","Landingspagina is succesvol opgeslagen"
"Meta description","Meta omschrijving"
"Meta keywords","Meta trefwoorden"
"Meta title","Meta titel"
"Page description","Meta omschrijving"
"Page Layout","Pagina layout"
"Page title","Pagina titel"
"Page URL","Pagina URL"
"Save Landingpage","Sla landingspagina op"
Stores,Winkels
Value,Waarde
